,Unnamed: 0,Star_name,Distance,Mass,Radius,Gravity
163,81,Proxima Centauri,4.25,0.12,0.15,1237.470248
164,,,,,,1537.13174
165,82,KIC 8462852,"1,470",1.43,1.58,1586.716634
166,,,,,,1667.410648
167,83,R136a1,"163,000",290,32,1290.735496
168,,,,,,1178.454947
169,84,Melnick 42,"163,000",189,21.1,879.0673875
170,,,,,,1318.17483
171,85,WR 102,"18,134",19,0.39,1234.571849
172,,,,,,1316.550206
173,86,VFTS 352,"164,000",57.48,14.47,336.7014135
174,,,,,,1291.136065
175,87,YBP 1194,"2,772",1.01,0.99,1178.454947
176,,,,,,1667.410648
177,88,Gliese 1214,47.5,0.16,0.21,1024.678238
178,,,,,,972.1575301
179,89,NML Cygni,"5,251",50,"1,640 - 2,770",1586.716634
180,,,,,,156.2521852
181,90,VB 10,18.72,0.075,0.1,61.21591954
182,,,,,,145.1170829
183,91,WOH G64,"163,000",<20,"1,540 - 1,730",887.7503956
184,,,,,,153.6721947
185,92,TRAPPIST-1,39.6,0.089,0.12,407.6980241
186,,,,,,1586.716634
187,93,2MASS J0523-1403,40.3,0.07,0.086,144.1372067
188,,,,,,1178.454947
189,94,WISE 0855−0714,7.27,0.003,?,1150.396496
190,,,,,,0.079335832
191,95,Icarus,"14,400,000,000",33,?,1213.291367
192,,,,,,1626.326725
193,0,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.10173537,1497.253176
194,,,,,,1628.363863
195,1,2MASS J00040288-6410358,192,0.018137172,0.16750369,1343.835496
196,,,,,,1234.571849
197,2,2MASS J00242463-0158201,37.7,0.075412452,0.11201167,1561.924187
198,,,,,,860.8488685
199,3,2MASS J00274197+0503417,236,0.029592228,0.14797872,1492.454237
200,,,,,,298.8070453
201,4,2MASSW J0030300-145033,87.2,0.051547752,0.10070774,1676.954435
202,,,,,,1682.586685
203,5,2MASS J00332386-1521309 [de],131,0.027683052,0.14695109,1610.694981
204,,,,,,1492.454237
205,6,2MASS J00345157+0523050,31,0.040092696,0.09659722,122.3094095
206,,,,,,132.030785
207,7,2MASS 0036+1821,28.6,0.040092696,0.09659722,1686.561048
208,,,,,,1234.571849
209,8,2MASSW J0045214+163445,57,0.021955524,0.16647606,1234.571849
210,,,,,,1644.251126
211,9,WISEP J004701.06+680352.1 [fr],40,0.011455056,0.1335919,1517.750071
212,,,,,,1679.186682
213,10,2MASS J00501994-3322402 [de],34,0.03818352,0.09659722,1441.862568
214,,,,,,1393.994336
215,11,2MASS J00584253-0651239 [de],96,0.027683052,0.14695109,1561.924187
216,,,,,,1234.571849
217,12,2MASSI J0103320+193536,70,0.049638576,0.10070774,363.7211709
218,,,,,,1659.217425
219,13,SDSSp J010752.33+004156.1 [de],51,0.049638576,0.10070774,1178.454947
220,,,,,,1206.513398
221,14,2MASSI J0117474-340325 [de],163,0.01909176,0.16647606,1659.217425
222,,,,,,1291.136065
223,15,2MASS J01415823-4633574 [de],130,0.01909176,0.16544843,1150.396496
224,,,,,,1673.306824
225,16,SDSS J015141.69+124429.6,70,0.044865636,0.09968011,303.5809887
226,,,,,,1238.436633
227,17,SDSS J020742.48+000056.2 [de],111,0.044865636,0.09968011,1236.188514
228,,,,,,1667.410648
229,18,2MASS J02103857-3015313,101,0.01431882,0.15722739,1628.363863
230,,,,,,1599.082875
231,19,2MASS J02340093-6442068,155,0.01909176,0.16647606,175.3653195
232,,,,,,1237.470248
233,20,2MASS J02411151-0326587 [de],152,0.025773876,0.14489583,1668.080852
234,,,,,,1644.251126
235,21,2MASS J02431371−2453298,35,0.031501404,0.10173537,68.84143201
236,,,,,,1591.756066
237,22,LP 771-21,53,0.074457864,0.11098404,1237.470248
238,,,,,,1391.270899
239,23,Teegarden's star,12.578,0.07636704,0.13050901,308.3463413
240,,,,,,336.7014135
241,24,2MASS J02535980+3206373,184,0.06204822,0.1952497,1543.045906
242,,,,,,1178.454947
243,25,WISE J0254+0223,24,0.06204822,0.1952497,1673.306824
